geography_type,geography_name,total_returns,returns_with_eitc,returns_with_ctc,total_federal_eitc,total_state_eitc,total_ctc,avg_federal_eitc_per_claim,avg_state_eitc_per_claim,avg_ctc_per_claim,eitc_participation_rate,ctc_participation_rate,county_name,district_number
senate_district,Senate District 2,54865,3339,9876,20333805.444556247,9989998.614910485,2465381.611586605,6089.79,2991.9133318090703,249.63,6.085847079194386,18.000546796682766,,2.0
senate_district,Senate District 3,20574,1252,3703,7625177.041708593,3746249.480591432,924518.1043449768,6090.4,2992.2120452008244,249.67,6.085350442305823,17.998444638864587,,3.0
senate_district,Senate District 4,35679,2171,6422,11264509.563297795,5534253.548448207,1685048.1758293724,5188.63,2549.172523467622,262.39,6.084811794052524,17.9993833907901,,4.0
senate_district,Senate District 5,43926,2673,7907,12362116.404317468,6073507.789441172,2137405.545865442,4624.81,2272.1690196188447,270.32,6.085234257615079,18.000728497928336,,5.0
senate_district,Senate District 6,43926,2673,7907,12362116.404317468,6073507.789441172,2137405.545865442,4624.81,2272.1690196188447,270.32,6.085234257615079,18.000728497928336,,6.0
senate_district,Senate District 7,71226,4334,12821,20429368.84838012,10036948.915209152,3302456.492099262,4713.74,2315.8626938645943,257.58,6.084856653469239,18.000449274141463,,7.0
senate_district,Senate District 8,38220,2326,6880,11294153.421687713,5548817.576075174,1631071.3247273474,4855.61,2385.5621565241504,237.07,6.0858189429618,18.001046572475143,,8.0
senate_district,Senate District 9,38900,2367,7002,10537443.042641569,5177045.766849803,2214619.687407932,4451.81,2187.176073869794,316.28,6.084832904884319,18.0,,9.0
senate_district,Senate District 10,97249,5918,17505,26343607.606603924,12942614.417124508,5536549.218519829,4451.44,2186.991283731752,316.28,6.085409618607904,18.00018509187755,,10.0
senate_district,Senate District 11,58350,3551,10503,15806164.563962352,7765568.650274703,3321929.5311118974,4451.19,2186.8681076526905,316.28,6.085689802913453,18.0,,11.0
senate_district,Senate District 12,116699,7097,21003,31612329.127924707,15531137.300549408,6643859.062223795,4454.32,2188.408806615388,316.33,6.081457424656596,17.99758352685113,,12.0
senate_district,Senate District 13,97249,5918,17505,26343607.606603924,12942614.417124508,5536549.218519829,4451.44,2186.991283731752,316.28,6.085409618607904,18.00018509187755,,13.0
senate_district,Senate District 14,19450,1184,3501,5268721.521320784,2588522.8834249014,1107309.843703966,4449.93,2186.2524353250856,316.28,6.087403598971722,18.0,,14.0
senate_district,Senate District 15,38900,2367,7002,10537443.042641569,5177045.766849803,2214619.687407932,4451.81,2187.176073869794,316.28,6.084832904884319,18.0,,15.0
senate_district,Senate District 16,38900,2367,7002,10537443.042641569,5177045.766849803,2214619.687407932,4451.81,2187.176073869794,316.28,6.084832904884319,18.0,,16.0
senate_district,Senate District 17,58350,3551,10503,15806164.563962352,7765568.650274703,3321929.5311118974,4451.19,2186.8681076526905,316.28,6.085689802913453,18.0,,17.0
senate_district,Senate District 18,58350,3551,10503,15806164.563962352,7765568.650274703,3321929.5311118974,4451.19,2186.8681076526905,316.28,6.085689802913453,18.0,,18.0
senate_district,Senate District 19,38900,2367,7002,10537443.042641569,5177045.766849803,2214619.687407932,4451.81,2187.176073869794,316.28,6.084832904884319,18.0,,19.0
senate_district,Senate District 20,38900,2367,7002,10537443.042641569,5177045.766849803,2214619.687407932,4451.81,2187.176073869794,316.28,6.084832904884319,18.0,,20.0
senate_district,Senate District 21,38900,2367,7002,10537443.042641569,5177045.766849803,2214619.687407932,4451.81,2187.176073869794,316.28,6.084832904884319,18.0,,21.0
